,disposets,number_occurrences,average_days_occurrences,std_days_occurrences,batch_means,maxim_service_disposet,sds-psg_x,coefficient_variation,disposet_classification,probability_disposet,prob_superdisposet,lambda_rate,kmin,kmax,stock
584,I0CRZU,87.0,23.0,77.97122307561283,-4.114942528735632,704.0,V04,3.3900531772005578,overdispersion,0.0572745227123107,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
585,I0D6DP,58.0,36.22413793103448,94.7662022629854,-1.293103448275862,704.0,V04,2.616106487983414,overdispersion,0.0381830151415404,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
586,I00VQW,16.0,91.375,204.0545270264789,-1.8125,707.0,V04,2.2331548785387567,overdispersion,0.010533245556287,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
587,I0B0T3,50.0,42.78,102.82346472454223,-1.22,708.0,V04,2.4035405498957982,overdispersion,0.0329163923633969,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
588,LSAKZ5,29.0,65.24137931034483,132.66489878433603,-1.0,710.0,V04,2.033447180098174,overdispersion,0.0190915075707702,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
589,B72HFC,95.0,22.231578947368423,75.75835781876015,-1.2842105263157897,712.0,V04,3.4076912844612752,overdispersion,0.0625411454904542,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,stock model accepted
590,I0HYB6,153.0,14.124183006535947,59.06556573902896,-4.8431372549019605,713.0,V04,4.181874853341708,overdispersion,0.1007241606319947,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
591,LEWPBY,415.0,5.260240963855422,35.41138132688456,-5.587951807228916,714.0,V04,6.731893380969808,overdispersion,0.2732060566161948,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
592,I0L7Z4,293.0,7.426621160409557,42.23789736502419,-6.84641638225256,715.0,V04,5.687363937477981,overdispersion,0.1928900592495062,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
593,I0HYB7,254.0,8.515748031496063,45.32253481532623,-7.897637795275591,715.0,V04,5.322202423991152,overdispersion,0.1672152732060566,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
594,B1XEZ2,80.0,26.1875,81.41674224458701,-1.2875,716.0,V04,3.1089925439460435,overdispersion,0.0526662277814351,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
595,B71NUB,105.0,20.752380952380957,71.17040506261404,-1.8,721.0,V04,3.4295055216037054,overdispersion,0.0691244239631336,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,stock model accepted
